"","track.name","track.album.release_date","track.popularity","track.album.album_type","track.duration_ms","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","Playlist"
"889","Red Lights","2014-06-13",65,"album",262200,0.654,0.83,-4.801,0.0366,0.000629,1.13e-06,0.121,0.548,124.989,"Edy"
"890","Wasted","2014-06-13",61,"album",190013,0.638,0.816,-5.503,0.0308,0.00149,0.00115,0.195,0.386,112.014,"Edy"
"891","Don't Ditch","2011-04-04",14,"compilation",465737,0.781,0.582,-8.059,0.0619,0.000652,0.795,0.0755,0.463,130.01,"Edy"
"892","Written in the Stars (feat. Eric Turner)","2010-05-31",53,"album",219560,0.644,0.945,-3.534,0.0717,0.0587,0,0.184,0.573,91.017,"Edy"
"893","The Lion Sleeps Tonight","1970-01-01",57,"album",153653,0.551,0.362,-13.443,0.0388,0.654,0.000264,0.126,0.865,125.865,"Edy"
"894","残酷な天使のテーゼ","2019-09-25",13,"album",244613,0.458,0.27,-14.232,0.0401,0.978,0.838,0.142,0.503,135.511,"Edy"
"895","Africa","2014-06-23",36,"compilation",296200,0.672,0.536,-11.822,0.0303,0.217,0.000197,0.0627,0.765,92.617,"Edy"
"896","Hold the Line","1978-10-10",79,"album",235546,0.473,0.898,-4.797,0.0561,0.00783,0.0618,0.173,0.808,96.556,"Edy"
"897","Habits (Stay High)","2014-01-01",73,"album",209160,0.729,0.65,-3.539,0.0313,0.0702,6.69e-05,0.0829,0.347,110.02,"Edy"
"898","Drive By","2012-04-17",77,"album",195973,0.765,0.837,-3.113,0.032,0.00107,1.06e-05,0.0801,0.721,122.028,"Edy"
"899","Drops of Jupiter (Tell Me)","2001-03-27",77,"album",259933,0.481,0.638,-5.862,0.0276,0.153,0,0.154,0.497,79.064,"Edy"
"900","Hey, Soul Sister","2010-12-01",81,"album",216773,0.673,0.886,-4.44,0.0431,0.185,0,0.0826,0.795,97.012,"Edy"
"901","Billionaire (feat. Bruno Mars)","2010-03-09",71,"single",211160,0.633,0.673,-6.403,0.258,0.297,0,0.206,0.659,86.776,"Edy"
"902","Ride","2015-05-15",81,"album",214506,0.645,0.713,-5.355,0.0393,0.00835,0,0.113,0.566,74.989,"Edy"
"903","House of Gold","2013-01-08",68,"album",163880,0.68,0.693,-7.234,0.0435,0.445,0,0.208,0.851,114.948,"Edy"
"904","We're Not Gonna Take It","1984-05-10",73,"album",219666,0.502,0.924,-6.299,0.0503,0.0127,0,0.162,0.922,149.186,"Edy"
"905","Vertigo","2004-01-01",65,"album",193520,0.416,0.819,-3.974,0.0613,0.000138,0.00108,0.147,0.632,140.083,"Edy"
"906","City Of Blinding Lights","2004-01-01",58,"album",345706,0.444,0.771,-4.127,0.0304,0.000234,0.0184,0.108,0.198,139.172,"Edy"
"907","Beautiful Day","2000-01-01",73,"album",248400,0.536,0.928,-6.492,0.0589,0.0154,0.00134,0.2,0.389,136.258,"Edy"
"908","Elevation","2000-01-01",57,"album",226626,0.578,0.807,-8.078,0.0361,0.000974,0.000416,0.0526,0.384,110.053,"Edy"
"909","Pride (In The Name Of Love) - Remastered 2009","1984-10-01",60,"album",228426,0.458,0.843,-7.201,0.0316,0.00135,0.000296,0.778,0.713,105.701,"Edy"
"910","With Or Without You - Remastered","1987-03-03",78,"album",295515,0.54,0.429,-11.822,0.0285,0.000202,0.355,0.141,0.113,110.171,"Edy"
"911","Sunday Bloody Sunday - Remastered 2008","2008-01-01",11,"album",278893,0.545,0.947,-7.456,0.051,0.41,0.000705,0.0385,0.727,101.17,"Edy"
"912","Pride (In The Name Of Love)","1998-11-02",50,"compilation",228466,0.454,0.879,-5.44,0.0305,0.000861,0.00281,0.794,0.727,105.859,"Edy"
"913","Cómo Me Duele","2019-07-19",21,"album",219520,0.79,0.761,-5.923,0.041,0.473,6.22e-05,0.224,0.978,153.176,"Edy"
"914","Holiday","2010-01-11",49,"album",138293,0.715,0.769,-5.24,0.105,0.023,0.000732,0.127,0.891,155.827,"Edy"
"915","A-Punk","2008-01-27",69,"album",137760,0.551,0.819,-4.489,0.0525,0.0103,0.0437,0.153,0.846,174.917,"Edy"
"916","Jump","1996-09-24",61,"compilation",239560,0.542,0.822,-7.201,0.0291,0.0745,0.00947,0.0645,0.772,130.011,"Edy"
"917","Brown Eyed Girl","2015-12-04",53,"compilation",183506,0.491,0.605,-10.098,0.0367,0.192,0,0.289,0.903,151.416,"Edy"
"918","Mess Is Mine","2014-09-08",64,"album",223640,0.595,0.723,-8.256,0.0349,0.047,0.0286,0.0995,0.272,108.043,"Edy"
"919","Riptide","2014-09-08",81,"album",204280,0.484,0.731,-6.694,0.0379,0.431,0,0.151,0.51,101.654,"Edy"
"920","Georgia","2014-09-08",62,"album",230506,0.388,0.66,-7.372,0.0308,0.312,0.000307,0.0943,0.401,143.554,"Edy"
"921","Lay It on Me","2018-02-23",58,"album",215493,0.733,0.663,-5.766,0.0322,0.101,6.98e-06,0.0694,0.53,127.974,"Edy"
"922","Take Me on the Floor","2007-10-30",45,"album",210480,0.61,0.9,-2.304,0.0453,0.00345,7.86e-06,0.272,0.621,139.969,"Edy"
"923","Bitter Sweet Symphony","1997-09-29",38,"album",357266,0.356,0.917,-6.006,0.0479,0.0335,0,0.406,0.518,171.176,"Edy"
"924","Estos Celos","2007-08-26",71,"album",190226,0.746,0.324,-8.064,0.045,0.692,0.00782,0.139,0.385,104.976,"Edy"
"925","El Rey","2002-03-22",55,"album",154226,0.456,0.478,-2.27,0.0291,0.56,0,0.14,0.514,81.867,"Edy"
"926","Ballade No. 1 in G Minor, Op. 23","2003-01-01",1,"album",585626,0.24,0.0963,-20.834,0.0426,0.982,0.928,0.0776,0.0448,66.852,"Edy"
"927","Prelude In A Minor Op. 32 No. 8","2017-03-09",42,"album",70293,0.289,0.115,-21.82,0.046,0.992,0.864,0.106,0.378,58.849,"Edy"
"928","Glad You Came - 2021 Master","2021-11-12",21,"album",198080,0.638,0.831,-4.573,0.0671,0.0361,3.48e-05,0.11,0.412,126.91,"Edy"
"929","Blinding Lights","2020-09-11",60,"single",200045,0.515,0.726,-5.926,0.0547,0.00152,0.00015,0.087,0.35,170.987,"Edy"
"930","Island In The Sun","2001-05-15",77,"album",200306,0.654,0.81,-6.26,0.0288,0.00719,0.00251,0.165,0.661,114.623,"Edy"
"931","Pork And Beans","2008-01-01",59,"album",189400,0.599,0.624,-6.622,0.0339,0.0109,8.06e-06,0.158,0.706,119.838,"Edy"
